id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52747205,Rental unit in Cape Town · ★4.31 · 2 bedrooms · 2 beds · 2 baths,3886732,Koos,,Ward 115,-33.92931,18.42163,Entire home/apt,960,1,13,2023-04-26,0.78,85,24,8,
52748560,Villa in Cape Town · ★4.67 · 4 bedrooms · 5 beds · 5.5 baths,427034168,Nox,,Ward 54,-33.927322,18.380243,Entire home/apt,13000,5,3,2023-01-07,0.45,1,349,3,
52749582,Home in Cape Town · 1 bedroom · 1 bed · 1 private bath,316339413,Rochelle,,Ward 53,-33.93296,18.51125,Private room,750,2,1,2022-12-30,0.17,1,180,1,
52750356,Condo in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 bath,252748378,Monika,,Ward 77,-33.93199,18.40168,Entire home/apt,850,2,31,2023-05-06,1.53,2,202,20,
52754022,Home in Cape Town · ★4.79 · 3 bedrooms · 5 beds · 2 baths,427079278,Sharon,,Ward 63,-34.01604,18.47267,Entire home/apt,513,1,14,2023-05-10,0.77,1,184,8,
52754312,Home in Cape Town · ★5.0 · 2 bedrooms · 4 beds · 1 bath,68261685,Esme,,Ward 57,-33.93409,18.46499,Entire home/apt,843,5,4,2023-04-01,0.20,1,365,2,
52761882,Condo in Cape Town · ★4.83 · 1 bedroom · 1 bed · 1 bath,7304467,Laurene,,Ward 115,-33.9097,18.3974,Entire home/apt,921,2,41,2023-05-30,2.05,21,362,30,
52762615,Rental unit in Cape Town · 3 bedrooms · 4 beds · 3 baths,23686786,Freda,,Ward 77,-33.941757,18.41198,Entire home/apt,5000,28,0,,,3,0,0,
52764272,Rental unit in Cape Town · ★4.36 · Studio · 1 bed · 1 bath,379224035,Mark,,Ward 55,-33.89593,18.50406,Entire home/apt,764,2,36,2023-05-26,1.74,3,354,20,
52765525,Rental unit in Cape Town · ★4.69 · Studio · 1 bed · 1 bath,379224035,Mark,,Ward 55,-33.89433,18.50371,Entire home/apt,764,2,26,2023-04-28,1.29,3,338,13,
52766180,Rental unit in Cape Town · ★4.69 · 3 bedrooms · 4 beds · 2 baths,427179297,Propr,,Ward 55,-33.89418,18.50605,Entire home/apt,769,3,35,2023-06-23,1.75,1,248,23,
52766847,Condo in Cape Town · ★4.62 · 2 bedrooms · 3 beds · 1 bath,146736177,Fatima,,Ward 23,-33.80504,18.47436,Entire home/apt,795,2,13,2022-04-05,0.64,2,0,0,
